"subject","gender","trial","duration","intensity","pitch","delay","video","stimulus","syllables","speech_rate"
4,"m",58,4.096705,68.02352032,141.531641,200,0,7,17,4.14967638626652
4,"m",59,2.493646,64.23451576,138.0706842,0,0,5,15,6.01528845714267
4,"m",60,4.132328,67.65487804,143.0130505,200,0,10,17,4.11390383338399
4,"m",61,3.989834,68.72501549,150.3620478,200,1,10,17,4.26082889664081
4,"m",62,3.063622,64.52970565,138.3385069,0,0,9,18,5.87539846625987
4,"m",63,4.203574,66.85007536,141.9540441,200,1,1,18,4.28207044767143
4,"m",64,3.34861,68.15303718,145.7951997,200,0,5,15,4.47947058630297
4,"m",65,4.061081,68.74541201,143.8581984,200,0,1,18,4.4323174051441
4,"m",66,2.63614,65.03135816,138.8252383,0,1,2,15,5.69013785307305
4,"m",67,4.274822,70.32717403,146.9220074,200,1,9,18,4.21070163857115
4,"m",68,2.743011,65.24521428,131.5144982,0,1,3,15,5.46844325451119
4,"m",69,3.063622,61.88290742,140.1021579,0,1,4,17,5.54898744035655
4,"m",70,3.95421,50.71240972,130.806086,0,0,2,15,3.79342523538204
4,"m",71,3.24174,62.6298365,136.7722902,0,1,9,18,5.55257361787188
4,"m",72,2.992375,60.8377382,126.3176435,0,1,6,15,5.01274071598647
4,"m",73,3.669222,64.67247637,128.3882193,200,0,3,15,4.0880600846719
4,"m",74,3.099246,61.556683,131.9848998,0,1,1,18,5.80786423536563
4,"m",75,3.34861,60.76335427,138.0160077,0,0,1,18,5.37536470356357
4,"m",76,2.493646,61.84722636,134.9277925,0,1,5,15,6.01528845714267
4,"m",77,2.992376,62.08570092,141.0087994,0,0,4,17,5.68110424625782
4,"m",78,3.918587,67.11910394,148.1352274,200,0,4,17,4.33829847340381
4,"m",79,3.099246,62.5089088,132.8618818,0,0,7,17,5.48520511117865
4,"m",80,2.778635,62.79826874,128.7388641,0,0,3,15,5.39833407410473
5,"f",1,2.885505,44.08397515,208.2335839,0,0,2,15,5.19839681442243
5,"f",2,5.094163,42.03221336,211.0536055,200,0,2,15,2.94454653296332
5,"f",3,4.809174,43.11679501,209.3717567,200,1,9,18,3.7428464846562
5,"f",4,4.274822,45.68623402,211.983621,200,0,7,17,3.97677376976164
5,"f",5,4.096705,61.01234147,200.4326341,200,0,9,18,4.39377499722338
5,"f",6,3.170493,62.49432259,199.9860342,200,0,5,15,4.73112541172619
5,"f",7,4.737928,58.665124,198.7113544,200,0,8,18,3.7991290707668
5,"f",8,3.134869,61.7687388,198.8060474,0,1,8,18,5.74186672553143
5,"f",9,4.274822,60.82169518,192.1547363,200,0,4,17,3.97677376976164
5,"f",10,3.170493,60.44142371,190.6418267,0,0,4,17,5.36194213328968
5,"f",11,2.814258,60.98036868,192.732483,0,1,2,15,5.33000172692056
5,"f",12,3.277363,60.86009816,190.2376416,200,1,2,15,4.57685035194454
5,"f",13,3.84734,62.09498208,200.2363479,200,1,7,17,4.41863729225907
5,"f",14,4.132328,61.24608058,193.2576536,200,1,6,15,3.62991514710352
5,"f",15,3.95421,61.74861563,201.2854113,200,0,10,17,4.29921526676631
5,"f",16,3.260924,59.76024555,188.4941687,0,0,1,18,5.51990785433822
5,"f",17,3.954211,60.68113802,192.8155534,200,1,4,17,4.29921417951647
5,"f",18,2.600517,62.68872467,187.7276268,0,0,3,15,5.7680838079505
5,"f",19,3.562351,62.08865072,198.7727306,200,0,6,15,4.21070242657167
5,"f",20,3.669222,61.73177071,197.5177539,200,1,10,17,4.63313476262815
5,"f",21,2.778635,60.66768873,182.1631777,0,1,6,15,5.39833407410473
5,"f",22,2.743011,61.21324941,192.9619228,0,1,5,15,5.46844325451119
5,"f",23,4.274822,60.68079041,195.7699695,200,1,1,18,4.21070163857115
5,"f",24,2.921128,59.63415949,193.9307741,0,0,8,18,6.16200317137763
